learning_rate,step,loss,batch_accuracy,validation_accuracy,test_accuracy
0.04987,500,4.462295,0.557,0.488,0.822
0.04974,1000,3.327651,0.698,0.646,0.822
0.04961,1500,2.583246,0.823,0.726,0.822
0.04948,2000,2.222349,0.828,0.762,0.822
0.04936,2500,1.729761,0.880,0.776,0.822
0.04923,3000,1.692563,0.896,0.797,0.822
0.04910,3500,1.569141,0.891,0.800,0.822
0.04898,4000,1.308423,0.917,0.823,0.822
0.04885,4500,1.592285,0.911,0.816,0.822
0.04872,5000,1.367854,0.917,0.805,0.822
0.04867,5191,1.554535,0.922,0.822,0.822
